,ACCESSNO,CATEGORYNO,SITE,SITENO,PROVENANCE
3_0559,3,559,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Level Overflow: Below shells, below pebbles, below another small layer of shell, in brown humus Excav Date - 00/00/36"
3_0560,3,560,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Provenience Description - Over hearth below shells. Section number - 4E Trench Number - IC.3"
3_0561,3,561,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.4 Bluehill Falls, Me. Below shells, below pebbles, below another small layer of shell in brown hunus."
3_0562,3,562,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Excav Date - 00/00/36 Bluehill Falls, Me. Just above pebbles in humus"
3_0563,3,563,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Bluehill Falls, Me. Under stake IC.3, Sectrion 4E. In shell."
3_0564,3,564,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Excav Date - 00/00/36 Bluehill Falls, Me. In humus (low)"
3_0565,3,565,Nevin Shell Heap.,Me.152/1,Provenience Description - In shell above plowline (possibly strata 13) Section number - 4E Trench Number - IC.2
3_0566,3,566,Nevin Shell Heap.,Me.152/1,Section number - 4E Trench Number - IC.2 Excav Date - 00/00/36 In shell above plow line.
3_0567,3,567,Nevin Shell Heap.,Me.152/1,Section number - 4E Trench Number - IC.2 Excav Date - 00/00/36 In shell below plow line.
3_0568,3,568,Nevin Shell Heap.,Me.152/1,Section number - 4E Trench Number - IC.2 In shell in pebbles.
3_0569,3,569,Nevin Shell Heap.,Me.152/1,Section number - 4E Trench Number - IC.2 Excav Date - 00/00/36 In pebbles below shells and below hearth complex.
3_0570,3,570,Nevin Shell Heap.,Me.152/1,Section number - 4E Trench Number - IC.2 Excav Date - 00/00/36 Below shells in pebbles
